,Word,count,anger,sad,anx,posemo,negemo,tone,total_counts,main_emotion,emotion,negative_emotion
1746,useless,6,2.4633333333333334,6.621666666666667,1.0416666666666667,2.433333333333333,12.308333333333332,17.794999999999998,12,sad,negemo,sad
1747,filthy,6,5.06,0.0,1.5683333333333334,1.765,8.811666666666666,1.6266666666666667,12,anger,negemo,anger
1748,water,6,1.665,0.3333333333333333,0.4766666666666666,4.196666666666666,2.776666666666667,49.58333333333332,12,posemo,posemo,anger
1749,un,6,2.3566666666666665,0.0,0.0,3.606666666666667,4.12,42.61833333333333,12,anger,negemo,anger
1750,epidemic,6,3.025,0.725,0.75,3.6233333333333335,5.366666666666667,22.060000000000002,12,anger,negemo,anger
1751,lay,6,3.323333333333333,0.0,0.3466666666666667,5.905,4.3500000000000005,38.065,12,posemo,posemo,anger
1752,panic,6,3.1483333333333334,0.0,4.0249999999999995,0.7533333333333333,8.183333333333332,1.7616666666666667,12,anx,negemo,anx
1753,predatory,6,2.0900000000000003,0.0,0.4066666666666667,5.383333333333333,4.825,38.538333333333334,12,posemo,posemo,anger
1754,connect,6,2.74,0.0,0.0,2.9183333333333334,3.8949999999999996,21.613333333333333,12,anger,negemo,anger
1755,urban,6,1.3333333333333333,0.0,0.0,3.1366666666666667,1.3333333333333333,57.035,12,posemo,posemo,anger
1756,trend,6,4.035,0.785,1.045,2.066666666666667,9.811666666666666,1.5983333333333334,12,anger,negemo,anger
1757,mandatory,6,3.9766666666666666,0.0,0.0,1.01,3.9766666666666666,22.53,12,anger,negemo,anger
1758,penis,6,3.3183333333333334,0.0,0.4766666666666666,1.92,4.4366666666666665,26.25,12,anger,negemo,anger
1759,lynch,6,2.7083333333333335,0.0,0.34,1.6166666666666665,3.7216666666666662,21.91333333333333,12,anger,negemo,anger
1760,ensure,6,1.2033333333333334,1.6050000000000002,0.0,1.9366666666666665,4.041666666666667,13.915,12,sad,negemo,sad
1761,statue,6,4.03,0.0,0.0,0.695,5.835000000000001,5.128333333333333,12,anger,negemo,anger
1762,making,6,3.6366666666666667,1.3766666666666667,1.96,5.153333333333333,10.643333333333333,37.263333333333335,12,anger,negemo,anger
1763,verdict,6,2.415,0.3466666666666667,1.45,0.7166666666666668,4.211666666666667,9.959999999999999,12,anger,negemo,anger
1764,rarely,6,2.815,1.075,1.1116666666666666,0.52,5.281666666666666,5.198333333333333,12,anger,negemo,anger
1765,nightmare,6,1.6600000000000001,1.2633333333333334,0.7266666666666666,2.6116666666666664,8.036666666666667,9.985,12,anger,negemo,anger
1766,material,6,1.4083333333333334,0.9816666666666668,1.76,5.1883333333333335,4.725,48.818333333333335,12,posemo,posemo,anx
